Name_of_Vehical,Selling_Price,On_Road_Price,Rating,Transparency_Score,Seller_Score,Health_Score,Pricing_Score,Make,Model,Trim,Year,Exterior_Color,Interior_Color,Fuel_Type,Transmission_Type,Body_Type,Interior_Furnishing,Seating_Capacity,Fuel_Tank_Capacity,Location,Registration_State,Kilometers_Driven,Seller_Type,Number_of_Owners,Engine_Displacement,Fuel_Efficiency
MAHINDRA SCORPIO VLX 2WD AIRBAG BS III 2014,725000,1167816,6.8,6.4,7,4.6,9.9,MAHINDRA,SCORPIO,SLE,2011,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,45000,DEALER,SECOND OWNER,2179,15.4
MAHINDRA SCORPIO VLX 2WD AIRBAG AT BS IV 2011,594000,1469129,7.5,5.9,9.7,6,9,MAHINDRA,SCORPIO,SLX,2008,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,119474,NA,SECOND OWNER,2179,NA
MAHINDRA SCORPIO 2.6 CRDE 2008,350000,777222,7,4.3,7,8,8.9,MAHINDRA,SCORPIO,VLX,2013,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,89275,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO SLE BS IV 2011,475200,1162436,7.1,6.1,7,7.1,8.9,MAHINDRA,SCORPIO,VLX,2012,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,61316,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2WD 2008,346500,1134004,6.8,5.9,9.2,3.8,9.1,MAHINDRA,SCORPIO,VLX,2010,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,75000,DEALER,SECOND OWNER,2179,NA
MAHINDRA SCORPIO VLX 2WD BS IV 2012,550000,1305840,7.4,6.2,4.5,6.1,9.9,MAHINDRA,SCORPIO,S2,2015,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,59000,DEALER,FIRST OWNER,2523,16.1
MAHINDRA SCORPIO VLX 2WD AIRBAG BS III 2012,625000,1167816,6.2,6.2,4.5,5,6.4,MAHINDRA,SCORPIO,S2,2006,SILVER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,37800,NA,FIRST OWNER,2179,NA
MAHINDRA SCORPIO SLE BS III 2011,850000,1267591,8.1,6.9,9.9,8.5,7.4,MAHINDRA,SCORPIO,S2,2004,RED,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,115286,NA,FIRST OWNER,2179,NA
MAHINDRA SCORPIO SLX 2.6 TURBO 7 STR 2008,280000,764118,6.4,4,7,5.6,9.4,MAHINDRA,SCORPIO,VLX,2013,GREY,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,42000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO LX 4WD BS IV 2014,650000,1214371,7,4.3,7,7.2,9.4,MAHINDRA,SCORPIO,EX,2011,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,19150,DEALER,FIRST OWNER,2523,14
MAHINDRA SCORPIO VLX 2WD 2013,657000,1134004,7.8,7.3,9.9,8.6,5,MAHINDRA,SCORPIO,VLX,2012,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,61316,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2WD 2012,750000,1134004,6.6,6.3,9.5,4.8,5.8,MAHINDRA,SCORPIO,VLX,2010,RED,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,49000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2010,465300,941177,6.4,5.9,7.5,3.8,9.1,MAHINDRA,SCORPIO,VLX,2013,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,71254,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO S2 2015,743490,1125858,6.2,5.9,7.5,3.6,8.5,MAHINDRA,SCORPIO,SLX,2006,SILVER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,155864,DEALER,FIRST OWNER,2609,NA
MAHINDRA SCORPIO 2.6 CRDE 2006,290999,777222,8.1,6.8,4.8,9.9,7.8,MAHINDRA,SCORPIO,S2,2016,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,7,60,MUMBAI,MAHARASHTRA,51000,DEALER,FIRST OWNER,2523,16.1
MAHINDRA SCORPIO S2 2016,800000,1125858,6.9,4.3,7,7.2,9.1,MAHINDRA,SCORPIO,S2,2004,SILVER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,100000,NA,SECOND OWNER,NA,NA
MAHINDRA SCORPIO 2.6 SLX 2004,180000,971324,6.9,4.3,10,5.6,9.9,MAHINDRA,SCORPIO,S10,2015,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,50000,NA,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2WD AIRBAG BS IV 2013,625000,1322917,6.6,5.9,8.4,4,8.9,MAHINDRA,SCORPIO,LX,2014,GREY,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,26500,NA,FIRST OWNER,2179,NA
MAHINDRA SCORPIO EX 2011,625000,951960,7.2,6.8,9.9,6.1,6,MAHINDRA,SCORPIO,LX,2006,OTHER,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,65200,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2012,749000,941177,7.2,6.8,9.9,5.9,6,MAHINDRA,SCORPIO,LX,2010,RED,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,89689,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 4WD AIRBAG BS IV 2010,572000,1372980,7.5,5.9,9.5,8.5,6.4,MAHINDRA,SCORPIO,LX,2011,BLACK,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,91000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2WD 2013,703000,1134004,7.9,6.8,9.9,9.3,5.4,MAHINDRA,SCORPIO,VLX,2010,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,94000,DEALER,SECOND OWNER,2179,NA
MAHINDRA SCORPIO SLX 2.6 TURBO 8 STR 2006,262350,659067,5.9,5.9,5,3.8,9.9,MAHINDRA,SCORPIO,TURBO,2003,SILVER,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,60000,DEALER,FOURTH OWNER,NA,NA
MAHINDRA SCORPIO S2 2016,842490,1125858,6.2,5.9,7.5,3.4,8.7,MAHINDRA,SCORPIO,TURBO,2005,BLACK,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,100000,DEALER,THIRD OWNER,2179,NA
MAHINDRA SCORPIO 2.6 DX 2004,165000,853285,6.9,4.3,10,6,9.4,MAHINDRA,SCORPIO,EX,2006,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,78123,DEALER,SECOND OWNER,NA,NA
MAHINDRA SCORPIO S10 2015,1050000,1573231,6,3.5,7,4.8,9.5,MAHINDRA,SCORPIO,M2DI,2011,OTHER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,78000,DEALER,FIRST OWNER,1997,NA
MAHINDRA SCORPIO LX BS IV 2014,650000,1019212,7.3,6.6,7,8.5,7,MAHINDRA,SCORPIO,M2DI,2006,SILVER,BEIGE,DIESEL,NA,NA,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,86000,DEALER,FIRST OWNER,2600,12.7
MAHINDRA SCORPIO M-HAWK LX 2010,530000,0,5.6,4.3,7,5.2,7,MAHINDRA,SCORPIO,EX,2008,SILVER,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,70521,DEALER,FIRST OWNER,2523,14
MAHINDRA SCORPIO 2.6 CRDE 2006,330000,777222,6.6,5.6,4.5,6.8,5.6,MAHINDRA,SCORPIO,VLX,2009,WHITE,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,192000,DEALER,SECOND OWNER,2179,NA
MAHINDRA SCORPIO LX BS III 2010,495000,961236,6.1,4.9,4.5,5.7,5.6,MAHINDRA,SCORPIO,LX,2009,WHITE,BLACK,PETROL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,70000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO LX BS IV 2011,445000,1019212,7.2,6.1,7,8.1,8.2,MAHINDRA,SCORPIO,M2DI,2010,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,64381,DEALER,FIRST OWNER,1997,NA
MAHINDRA SCORPIO VLX 2WD BS IV 2010,610000,1305840,6.6,6.2,4.3,5.7,7,MAHINDRA,SCORPIO,SLE,2011,OTHER,NA,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,54000,DEALER,FIRST OWNER,2179,15.4
MAHINDRA SCORPIO TURBO 2.6 DX 2003,425000,942336,6.9,5.6,4.5,6.8,7,MAHINDRA,SCORPIO,EX,2011,WHITE,BLACK,DIESEL,NA,NA,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,64000,DEALER,FIRST OWNER,NA,NA
MAHINDRA SCORPIO 2.6 SLX 2005,280000,971324,6.9,6.2,4.5,6.4,7.2,MAHINDRA,SCORPIO,EX,2006,SILVER,BEIGE,DIESEL,NA,NA,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,86000,DEALER,FIRST OWNER,2600,12.7
MAHINDRA SCORPIO EX 2006,470000,951960,6.9,6.7,3.5,6.8,7,MAHINDRA,SCORPIO,SLE,2010,SILVER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,128086,DEALER,SECOND OWNER,2179,15.4
MAHINDRA SCORPIO M2DI 2011,475000,877172,6.4,5.9,7.5,4.8,8.1,MAHINDRA,SCORPIO,SLE,2008,GREEN,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,90000,DEALER,FIRST OWNER,2609,10.3
MAHINDRA SCORPIO 2.6 DX CRDE 2006,300000,853285,6.9,6.2,4.5,6.4,6.8,MAHINDRA,SCORPIO,DX,2006,WHITE,BEIGE,DIESEL,NA,NA,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,126000,DEALER,THIRD OWNER,2609,10.3
MAHINDRA SCORPIO EX 2008,450000,951960,6.7,6.6,4.5,6.4,5.8,MAHINDRA,SCORPIO,VLX,2011,BLACK,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,73000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2WD BS IV 2009,515000,1305840,6.4,4.9,6,5,7,MAHINDRA,SCORPIO,VLX,2006,SILVER,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,110000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO LX BS III 2009,450000,961236,6.5,5.5,4.5,6.4,5.8,MAHINDRA,SCORPIO,DX,2006,BLACK,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,80000,DEALER,FIRST OWNER,2609,10.3
MAHINDRA SCORPIO M2DI 2010,550000,877172,6.7,6.2,4.5,6.4,6.2,MAHINDRA,SCORPIO,M2DI,2008,SILVER,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,69000,DEALER,THIRD OWNER,1997,NA
MAHINDRA SCORPIO SLE BS III 2011,700000,1267591,6.6,6.2,4.5,6.4,5.4,MAHINDRA,SCORPIO,SLX,2006,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,73000,DEALER,SECOND OWNER,2179,NA
MAHINDRA SCORPIO EX 2011,570000,951960,6.1,6.1,4.5,5.7,4.6,MAHINDRA,SCORPIO,LX,2011,BLACK,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,91000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO 2.6 DX CRDE 2006,300000,853285,6.9,6.2,4.5,6.4,6.8,MAHINDRA,SCORPIO,EX,2010,SILVER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,70000,DEALER,FIRST OWNER,2523,NA
MAHINDRA SCORPIO SLE BS III 2010,510000,1267591,6.5,6.1,7,4.4,8.9,MAHINDRA,SCORPIO,VLX,2010,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,136000,NA,FIFTH OWNER,2179,NA
MAHINDRA SCORPIO 2.6 TURBO 9 STR 2008,375000,718551,6.5,5.9,7,4.8,9.2,MAHINDRA,SCORPIO,VLX,2010,OTHER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,92000,NA,SECOND OWNER,2179,NA
MAHINDRA SCORPIO DX 2.6 TURBO 8 STR 2006,325000,922972,6.6,6.2,4.3,5.7,7,MAHINDRA,SCORPIO,M2DI,2012,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,60000,DEALER,FIRST OWNER,1997,NA
MAHINDRA SCORPIO VLX 2011,610000,941177,6.4,6.2,4.5,5.7,5.8,MAHINDRA,SCORPIO,VLX,2011,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,58130,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO 2.6 SLX CRDE 2006,325000,1010167,6.8,5.5,4.5,6.4,7.2,MAHINDRA,SCORPIO,DX2,2006,SILVER,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,80000,DEALER,FIRST OWNER,NA,NA
MAHINDRA SCORPIO DX 2.6 TURBO 7 STR 2006,325000,922972,6.9,5.5,4.5,6.8,6.8,MAHINDRA,SCORPIO,VLX,2013,WHITE,NA,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,46500,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO M2DI 2008,345000,877172,7,5.6,5.8,6.4,7,MAHINDRA,SCORPIO,M2DI,2012,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,63000,DEALER,FIRST OWNER,1997,NA
MAHINDRA SCORPIO SLX 2006,350000,834966,7.1,6.2,5.8,6.8,6,MAHINDRA,SCORPIO,SLX,2010,BLACK,BEIGE,DIESEL,NA,NA,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,72190,DEALER,FIRST OWNER,NA,NA
MAHINDRA SCORPIO LX BS IV 2011,445000,1019212,7.2,6.1,7,8.1,8.2,MAHINDRA,SCORPIO,VLX,2009,WHITE,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,72403,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO EX 2010,445500,951960,5.9,6.1,7,3.8,7,MAHINDRA,SCORPIO,EX,2012,WHITE,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,62186,DEALER,FIRST OWNER,2523,NA
MAHINDRA SCORPIO VLX 2WD BS IV 2010,465000,1305840,5.3,7,3.3,3.8,8.8,MAHINDRA,SCORPIO,SLX,2010,WHITE,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,80000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO 2.6 CRDE 2010,320000,777222,5.2,6.3,4.5,3.8,7.6,MAHINDRA,SCORPIO,SLE,2010,OTHER,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,84613,DEALER,FIRST OWNER,2179,15.4
MAHINDRA SCORPIO M2DI 2012,575000,877172,6.6,6.1,9.7,4.8,5.7,MAHINDRA,SCORPIO,SLE,2006,BLACK,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,78000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2WD AIRBAG BS III 2011,715000,1167816,6.8,5.9,6,6.1,6,MAHINDRA,SCORPIO,SLX,2007,WHITE,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,80000,DEALER,SECOND OWNER,2609,NA
MAHINDRA SCORPIO DX2 2006,310000,923320,6.6,6.2,4.5,6.8,4.8,MAHINDRA,SCORPIO,M2DI,2012,WHITE,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,74000,DEALER,FIRST OWNER,1997,NA
MAHINDRA SCORPIO VLX 2WD AIRBAG BS III 2013,750000,1167816,7.2,7.6,6,5.7,6.8,MAHINDRA,SCORPIO,SLE,2008,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,54000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO M2DI 2012,595000,877172,6.1,6.2,4.5,5.7,4.4,MAHINDRA,SCORPIO,M2DI,2007,SILVER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,85000,DEALER,SECOND OWNER,1997,NA
MAHINDRA SCORPIO SLX 2.6 TURBO 7 STR 2010,550001,764118,6.6,6.2,4.5,5.7,7,MAHINDRA,SCORPIO,M2DI,2011,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,73000,DEALER,SECOND OWNER,1997,NA
MAHINDRA SCORPIO VLX 2WD AIRBAG BS III 2009,580001,1167816,6.6,6.2,4.5,6.4,5.4,MAHINDRA,SCORPIO,M2DI,2013,WHITE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,65000,DEALER,FIRST OWNER,1997,NA
MAHINDRA SCORPIO EX 2012,625000,951960,6.5,6.6,4.5,5.7,5.8,MAHINDRA,SCORPIO,SLE,2010,GREY,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,71200,DEALER,SECOND OWNER,2179,15.4
MAHINDRA SCORPIO SLX 2010,525000,834966,6.6,6.2,4.5,5.7,7,MAHINDRA,SCORPIO,SLE,2004,BLACK,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,136500,NA,THIRD OWNER,2609,12.7
MAHINDRA SCORPIO SLE BS IV 2010,590000,1162436,6.6,6.1,4.5,5.7,6.8,MAHINDRA,SCORPIO,DX,2003,RED,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,85000,DEALER,FIRST OWNER,2609,10.3
MAHINDRA SCORPIO 2.6 SLX CRDE 2006,300000,1010167,7.4,5.8,6,6.8,7.8,MAHINDRA,SCORPIO,DX,2004,WHITE,BLACK,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,235758,DEALER,FIRST OWNER,NA,NA
MAHINDRA SCORPIO SLX 2.6 TURBO 7 STR 2007,350000,764118,7.2,6.3,9.9,5.5,7.3,MAHINDRA,SCORPIO,S4,2015,BLUE,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,25000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO M2DI 2012,530000,877172,6.7,5.6,6.4,5.3,7,MAHINDRA,SCORPIO,S4,2007,SILVER,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,85000,DEALER,SECOND OWNER,2609,NA
MAHINDRA SCORPIO SLE 2.6 CRDE 2008,475000,1139453,6.2,6.6,8.2,5,4.6,MAHINDRA,SCORPIO,LX,2011,SILVER,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,90000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO M2DI 2007,285000,877172,6.7,6.1,7,5,9.4,MAHINDRA,SCORPIO,VLX,2012,WHITE,BEIGE,DIESEL,AUTOMATIC,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,55000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO M2DI 2011,490000,877172,6.2,5.9,7,4.8,7.3,MAHINDRA,SCORPIO,DX,2006,SILVER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,67000,DEALER,FIRST OWNER,2609,10.3
MAHINDRA SCORPIO M2DI 2013,559350,877172,6.5,5.9,7,4.6,9.1,MAHINDRA,SCORPIO,VLX,2010,WHITE,GRAY,DIESEL,AUTOMATIC,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,100000,DEALER,SECOND OWNER,2179,NA
MAHINDRA SCORPIO SLE BS IV 2010,425700,1162436,5.9,5.9,5.5,4,8.7,MAHINDRA,SCORPIO,M2DI,2003,BLACK,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,152681,DEALER,THIRD OWNER,1997,NA
MAHINDRA SCORPIO 2.6 2004,250000,718551,5.5,7,4.8,4.3,7.2,MAHINDRA,SCORPIO,LX,2009,BLACK,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,102000,DEALER,FIRST OWNER,NA,NA
MAHINDRA SCORPIO DX 2.6 TURBO 8 STR 2003,260000,922972,5.5,5.9,4.3,4.5,8.4,MAHINDRA,SCORPIO,LX,2011,SILVER,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,64000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO 2.6 DX 2003_849576789,300000,788933,5.6,5.6,4.5,5,3.8,MAHINDRA,SCORPIO,LX,2004,SILVER,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,120000,DEALER,SECOND OWNER,2609,12.7
MAHINDRA SCORPIO S4 2015,850000,1119477,5,5.6,4.8,3.8,7.2,MAHINDRA,SCORPIO,VLX,2010,BLACK,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,61000,DEALER,SECOND OWNER,2179,NA
MAHINDRA SCORPIO 2.6 TURBO 9 STR 2007,325000,718551,5.3,5.5,4.3,4.3,8.4,MAHINDRA,SCORPIO,VLX,2007,SILVER,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,85000,DEALER,SECOND OWNER,2609,NA
MAHINDRA SCORPIO LX BS III 2011,1200000,961236,5.6,3.8,6,5.4,3.4,MAHINDRA,SCORPIO,LX,2011,SILVER,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,90000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO VLX 2WD AIRBAG BS III 2012,725000,1167816,5.7,6.2,4.5,4.5,4.8,MAHINDRA,SCORPIO,VLX,2012,WHITE,BEIGE,DIESEL,AUTOMATIC,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,55000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO DX 2.6 TURBO 8 STR 2006,280000,922972,6,5.9,7,5,6.1,MAHINDRA,SCORPIO,DX,2006,SILVER,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,67000,DEALER,FIRST OWNER,2609,10.3
MAHINDRA SCORPIO VLX AT BS III 2010,600000,0,5,5.8,4.3,3.8,7.2,MAHINDRA,SCORPIO,VLX,2010,WHITE,GRAY,DIESEL,AUTOMATIC,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,100000,DEALER,SECOND OWNER,2179,NA
MAHINDRA SCORPIO M2DI 2003,235000,877172,5.5,6.1,4.3,4.3,8.4,MAHINDRA,SCORPIO,M2DI,2003,BLACK,GREY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,152681,DEALER,THIRD OWNER,1997,NA
MAHINDRA SCORPIO LX 2.6 TURBO 2009,449000,1016429,5.2,6.1,5.6,3.8,7,MAHINDRA,SCORPIO,LX,2009,BLACK,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,102000,DEALER,FIRST OWNER,NA,NA
MAHINDRA SCORPIO LX BS IV 2011,550000,1019212,5.3,5.3,4.3,4.3,8.2,MAHINDRA,SCORPIO,LX,2011,SILVER,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,64000,DEALER,FIRST OWNER,2179,NA
MAHINDRA SCORPIO 2.6 2004,230000,718551,5.6,6.6,4.8,4.3,8.2,MAHINDRA,SCORPIO,LX,2004,SILVER,GRAY,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,120000,DEALER,SECOND OWNER,2609,12.7
MAHINDRA SCORPIO VLX 2WD AIRBAG BS III 2010,575000,1167816,5.1,6.1,4.3,4.3,6.6,MAHINDRA,SCORPIO,VLX,2010,BLACK,BEIGE,DIESEL,MANUAL,SUV,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,61000,DEALER,SECOND OWNER,2179,NA
